fips_code,white_percent,white,black,latino
1001,100,71,24,2
1003,99,79,14,5
1005,0,31,62,5
1007,100,75,22,1
1009,100,84,2,13
1011,0,1,92,8
1013,22,38,60,1
1015,99,68,26,3
1017,94,42,55,1
1019,100,83,5,1
1021,100,76,12,9
1023,36,33,65,1
1025,30,40,58,1
1027,100,75,20,4
1029,100,92,5,2
1031,92,68,21,7
1033,99,75,20,2
1035,0,16,84,0
1037,100,53,43,1
1039,100,79,18,1
1041,100,62,34,2
1043,100,92,1,5
1045,74,63,30,4
1047,37,12,87,0
1049,88,63,2,25
1051,100,69,26,2
1053,88,53,41,1
1055,91,74,20,5
1057,100,84,15,0
1059,100,75,4,20
1061,100,80,14,5
1063,0,0,99,0
1065,92,29,70,1
1067,80,59,37,3
1069,81,56,39,3
1071,100,86,5,4
1073,84,42,51,4
1075,100,82,16,2
1077,98,82,14,3
1079,97,72,13,2
1081,89,60,32,3
1083,96,76,13,8
1085,0,1,99,0
1087,0,1,98,0
1089,93,59,29,4
1091,47,37,60,2
1093,100,93,4,2
1095,99,79,2,17
1097,81,45,49,2
1099,80,45,52,0
1101,32,14,78,4
1103,91,70,17,11
1105,0,1,99,0
1107,72,39,59,1
1109,47,41,54,2
1111,100,71,26,3
1113,57,38,55,4
1115,100,86,10,2
1117,100,73,15,8
1119,0,1,99,0
1121,80,57,40,2
1123,94,61,35,2
1125,85,51,44,3
1127,99,88,9,2
1129,97,60,29,1
1131,0,0,100,0
1133,100,95,1,2
2013,20,12,0,3
2016,0,24,1,12
2020,64,46,6,11
2050,0,4,0,0
2060,0,31,0,3
2068,100,90,0,2
2070,0,6,0,0
2090,90,62,6,8
2100,100,78,0,2
2105,68,29,1,1
2110,81,54,1,5
2122,100,76,1,4
2130,64,51,1,3
2150,21,39,0,9
2164,0,10,2,0
2170,100,74,2,3
2180,0,5,0,0
2185,0,4,0,1
2188,0,3,0,0
2195,98,51,1,4
2198,88,35,0,2
2220,68,42,1,3
2230,100,85,0,1
2240,99,73,2,4
2261,95,60,0,3
2270,0,1,0,0
2275,72,57,1,3
2282,0,17,0,4
2290,4,12,0,1
4001,97,15,0,5
4003,68,39,5,51
4005,63,42,1,18
4007,68,47,0,24
4009,63,54,1,36
4011,41,37,1,59
4012,23,24,1,48
4013,77,44,7,42
4015,93,69,1,24
4017,87,39,1,12
4019,66,36,4,52
4021,65,45,6,40
4023,25,4,0,95
4025,98,69,1,24
4027,7,16,2,80
5001,76,62,32,3
5003,100,61,30,8
5005,100,93,0,3
5007,95,66,2,24
5009,100,95,0,2
5011,30,49,29,22
5013,100,68,28,4
5015,100,71,0,27
5017,0,11,79,9
5019,100,57,31,9
5021,100,97,0,2
5023,100,95,0,3
5025,100,80,16,2
5027,31,49,47,3
5029,100,76,14,5
5031,88,70,21,6
5033,98,81,2,10
5035,63,31,66,2
5037,100,70,27,1
5039,26,47,49,4
5041,60,37,56,5
5043,100,65,30,4
5045,97,78,15,5
5047,100,93,1,3
5049,100,94,1,2
5051,88,73,13,9
5053,100,94,2,3
5055,100,94,1,4
5057,59,41,36,21
5059,100,80,13,4
5061,74,57,23,17
5063,100,85,3,9
5065,100,96,1,2
5067,100,69,26,4
5069,68,27,70,1
5071,100,76,2,19
5073,46,44,53,2
5075,100,97,0,1
5077,0,6,91,2
5079,100,69,22,7
5081,100,66,27,3
5083,100,91,1,3
5085,100,86,7,4
5087,100,90,0,7
5089,100,96,0,2
5091,66,61,33,3
5093,80,49,45,5
5095,0,38,55,3
5097,100,88,1,8
5099,100,57,37,5
5101,100,96,0,0
5103,52,43,52,2
5105,100,93,3,2
5107,74,18,80,1
5109,100,84,2,10
5111,100,84,11,4
5113,100,86,1,9
5115,98,81,4,11
5117,100,79,20,1
5119,48,33,56,8
5121,100,94,1,2
5123,49,25,73,1
5125,100,84,7,6
5127,100,82,1,10
5129,100,96,0,2
5131,88,58,8,21
5133,49,44,4,50
5135,100,96,1,2
5137,100,96,1,2
5139,56,53,41,4
5141,100,94,1,3
5143,79,59,4,27
5145,100,86,5,6
5147,75,61,34,1
5149,86,65,1,29
6001,40,22,13,32
6003,100,52,0,11
6005,100,72,0,17
6007,83,60,3,22
6009,100,78,1,14
6011,1,23,1,72
6013,66,37,10,32
6015,90,58,1,18
6017,97,71,1,18
6019,35,20,6,61
6021,25,39,1,54
6023,95,63,1,14
6025,5,7,1,90
6027,44,43,0,34
6029,60,26,6,62
6031,23,25,5,64
6033,86,58,2,29
6035,100,75,1,13
6037,41,14,8,65
6039,56,24,2,70
6041,88,60,3,25
6043,100,72,1,13
6045,67,49,1,38
6047,13,19,3,68
6049,100,70,1,19
6051,55,15,0,49
6053,41,16,2,75
6055,30,32,2,53
6057,98,80,1,13
6059,62,30,2,48
6061,98,68,2,17
6063,100,77,2,15
6065,20,25,7,60
6067,54,35,13,28
6069,5,21,1,67
6071,26,21,9,62
6073,56,32,6,46
6075,6,12,10,24
6077,20,23,9,48
6079,77,57,1,35
6081,46,30,3,38
6083,36,26,1,65
6085,28,23,2,38
6087,83,40,1,52
6089,99,73,2,13
6091,100,79,1,14
6093,93,65,1,19
6095,37,29,16,33
6097,79,48,2,41
6099,27,32,3,55
6101,42,41,2,36
6103,78,58,1,36
6105,100,73,1,9
6107,9,20,2,72
6109,97,64,1,13
6111,71,37,3,50
6113,40,38,3,45
6115,61,46,4,33
8001,62,42,3,49
8003,23,37,0,59
8005,80,48,12,29
8007,100,71,1,25
8009,100,77,1,18
8011,78,59,1,39
8013,93,66,1,24
8014,98,73,1,17
8015,100,83,0,13
8017,100,81,0,19
8019,100,82,1,11
8021,39,43,0,55
8023,0,14,0,83
8025,100,66,0,24
8027,100,90,1,4
8029,100,73,0,24
8031,44,21,14,58
8033,100,85,0,6
8035,99,77,2,13
8037,47,47,0,50
8039,100,86,1,10
8041,88,61,7,22
8043,100,83,1,12
8045,83,52,0,44
8047,100,82,1,11
8049,100,84,1,13
8051,100,81,0,16
8053,100,89,0,8
8055,52,39,1,56
8057,100,74,0,23
8059,95,68,1,23
8061,100,84,2,12
8063,83,66,1,31
8065,0,30,0,66
8067,95,72,1,17
8069,98,75,1,18
8071,58,43,1,52
8073,100,85,3,9
8075,100,74,1,21
8077,100,73,1,21
8079,100,80,0,17
8081,100,75,0,21
8083,95,62,1,16
8085,89,60,0,36
8087,32,43,2,52
8089,51,44,1,53
8091,100,86,0,9
8093,100,85,1,10
8095,100,69,0,29
8097,80,71,1,25
8099,29,45,1,52
8101,49,40,2,55
8103,100,84,0,14
8105,49,40,0,57
8107,100,87,0,9
8109,90,33,0,64
8111,100,75,0,25
8113,100,82,0,15
8115,100,75,1,22
8117,85,65,1,30
8119,100,87,1,8
8121,100,87,0,11
8123,76,55,1,41
8125,76,62,0,36
9001,81,59,13,21
9003,86,54,16,22
9005,100,87,2,7
9007,99,81,7,7
9009,79,54,17,23
9011,91,69,8,13
9013,100,86,4,5
9015,93,77,3,16
10001,83,55,33,7
10003,59,44,35,15
10005,81,57,21,16
11001,37,8,76,14
12001,63,48,34,8
12003,100,83,12,2
12005,95,74,14,5
12007,100,70,24,3
12009,87,64,14,13
12011,28,26,38,29
12013,100,76,12,6
12015,100,74,9,12
12017,100,83,4,7
12019,89,70,13,10
12021,67,40,12,44
12023,100,68,22,5
12027,42,45,12,40
12029,100,85,7,4
12031,48,39,44,8
12033,70,50,34,5
12035,100,64,16,12
12037,100,81,11,4
12039,0,4,76,19
12041,100,89,4,4
12043,0,39,10,33
12045,100,80,14,3
12047,17,44,37,15
12049,0,33,6,58
12051,0,25,15,59
12053,100,72,7,15
12055,48,48,17,30
12057,48,39,21,33
12059,100,91,3,3
12061,94,60,16,20
12063,94,62,30,3
12065,2,24,67,7
12067,100,71,8,18
12069,80,58,15,20
12071,75,48,15,33
12073,78,46,42,5
12075,100,73,14,9
12077,100,81,9,7
12079,33,38,55,4
12081,73,53,14,29
12083,77,56,19,18
12085,92,64,7,24
12086,4,8,24,66
12087,72,53,10,33
12089,100,83,7,5
12091,97,71,12,8
12093,84,53,7,36
12095,31,32,27,34
12097,43,28,12,55
12099,64,36,28,29
12101,98,68,6,20
12103,88,60,18,13
12105,58,47,21,27
12107,83,56,25,15
12109,100,81,7,6
12111,26,40,29,26
12113,100,80,5,5
12115,94,66,9,18
12117,82,56,14,22
12119,94,69,13,13
12121,100,67,14,15
12123,100,70,24,2
12125,100,78,14,4
12127,86,62,15,18
12129,100,82,10,2
12131,100,79,7,8
12133,100,76,16,3
13001,83,63,22,12
13003,0,46,17,35
13005,100,68,19,9
13007,0,17,74,6
13009,0,28,65,2
13011,95,80,2,14
13013,100,64,13,13
13015,96,74,12,11
13017,0,45,42,10
13019,100,76,12,9
13021,29,21,73,3
13023,99,69,26,2
13025,100,94,3,2
13027,37,38,49,9
13029,100,72,17,6
13031,75,55,35,5
13033,0,30,67,1
13035,100,63,31,3
13037,0,1,96,3
13039,100,63,24,6
13043,64,50,29,17
13045,86,64,21,9
13047,100,90,3,3
13049,100,64,30,1
13051,45,28,58,6
13053,53,53,35,6
13055,100,82,6,7
13057,98,75,7,14
13059,0,19,53,22
13061,0,1,98,0
13063,0,3,71,18
13065,100,58,35,2
13067,72,42,32,18
13069,81,50,30,16
13071,53,47,27,23
13073,89,66,18,7
13075,100,54,34,8
13077,92,66,21,7
13079,100,71,23,1
13081,0,36,57,3
13083,100,96,1,1
13085,100,92,0,5
13087,0,39,51,8
13089,44,13,68,12
13091,100,58,35,4
13093,0,11,72,14
13095,20,9,88,2
13097,41,34,48,12
13099,0,31,65,2
13101,100,57,2,38
13103,100,75,15,4
13105,95,53,35,8
13107,37,49,43,6
13109,0,42,37,19
13111,100,94,0,3
13113,84,56,24,9
13115,86,63,16,15
13117,99,75,3,12
13119,100,80,11,6
13121,70,26,54,11
13123,100,81,0,17
13125,100,91,7,0
13127,81,50,35,9
13129,100,72,3,20
13131,23,43,41,13
13133,39,26,62,9
13135,39,31,29,25
13137,95,71,2,22
13139,66,48,8,41
13141,0,1,98,0
13143,100,91,4,1
13145,100,75,17,4
13147,100,67,24,6
13149,100,84,9,2
13151,56,39,46,8
13153,65,50,36,7
13155,100,63,32,3
13157,100,78,6,10
13159,100,66,25,5
13161,100,65,16,17
13163,0,26,68,3
13165,0,38,56,4
13167,100,52,44,3
13169,100,69,27,1
13171,100,61,34,2
13173,100,66,26,4
13175,95,54,41,2
13177,100,73,19,2
13179,0,30,51,10
13181,100,60,37,0
13183,100,53,26,10
13185,84,46,44,6
13187,100,90,1,6
13189,16,44,50,3
13191,79,53,42,2
13193,0,10,81,6
13195,100,80,9,7
13197,54,50,37,8
13199,0,38,58,1
13201,100,61,35,2
13205,58,40,51,7
13207,100,67,28,3
13209,100,54,32,11
13211,100,64,28,4
13213,100,77,0,20
13215,52,29,58,6
13217,52,38,52,6
13219,100,83,4,6
13221,100,71,18,6
13223,96,67,20,7
13225,50,34,49,13
13227,100,92,1,4
13229,100,83,9,6
13231,100,88,9,1
13233,84,64,14,17
13235,100,51,39,6
13237,0,46,42,9
13239,0,23,75,0
13241,100,83,0,15
13243,0,6,91,1
13245,22,20,73,3
13247,0,22,60,12
13249,100,77,17,3
13251,0,45,52,1
13253,53,51,44,3
13255,63,47,44,5
13257,100,78,12,3
13259,0,7,92,1
13261,0,16,75,7
13263,0,9,91,0
13265,0,10,84,2
13267,74,54,25,19
13269,100,55,42,1
13271,100,54,43,1
13273,0,5,92,1
13275,90,50,44,3
13277,0,45,34,18
13279,41,52,32,13
13281,100,98,0,0
13283,100,56,40,1
13285,63,51,40,4
13287,0,38,55,6
13289,0,31,66,0
13291,100,94,0,3
13293,100,59,34,3
13295,100,89,5,2
13297,94,69,22,5
13299,72,54,36,5
13301,0,6,92,1
13303,0,31,64,1
13305,100,68,22,6
13307,0,44,48,5
13309,100,59,34,6
13311,100,91,1,3
13313,64,44,3,49
13315,100,54,41,3
13317,0,38,51,5
13319,0,37,57,3
13321,100,58,36,2
15001,14,17,1,7
15003,10,13,3,6
15007,10,18,1,5
15009,19,17,1,7
16001,100,83,2,9
16003,100,93,0,5
16005,100,83,1,8
16007,100,95,0,3
16009,89,75,0,5
16011,97,71,0,22
16013,95,62,0,35
16015,100,92,0,5
16017,100,90,0,4
16019,99,80,1,16
16021,100,88,1,6
16023,100,93,0,5
16025,100,89,0,9
16027,87,63,1,33
16029,100,91,0,7
16031,100,66,0,32
16033,55,48,0,51
16035,100,86,2,6
16037,100,91,0,7
16039,100,69,2,23
16041,100,90,0,7
16043,100,79,0,19
16045,100,84,0,12
16047,90,65,0,33
16049,100,91,1,5
16051,100,84,0,13
16053,64,55,0,44
16055,100,91,1,5
16057,100,90,1,4
16059,100,94,1,3
16061,100,81,0,5
16063,91,63,1,33
16065,100,91,1,7
16067,87,54,0,45
16069,99,80,0,4
16071,100,92,1,4
16073,100,62,0,36
16075,100,72,0,25
16077,74,50,0,38
16079,100,92,0,3
16081,100,74,0,25
16083,99,76,1,20
16085,100,92,0,6
16087,100,72,0,27
17001,100,88,7,1
17003,95,43,51,1
17005,100,91,3,1
17007,91,62,2,32
17009,100,97,0,0
17011,98,81,1,14
17013,100,96,0,1
17015,100,91,2,4
17017,84,62,4,32
17019,63,58,24,7
17021,100,95,1,1
17023,100,96,1,1
17025,100,96,1,2
17027,100,91,2,4
17029,100,90,3,2
17031,67,25,31,37
17033,100,95,1,1
17035,100,98,0,0
17037,98,75,6,13
17039,100,93,1,3
17041,100,85,0,11
17043,85,58,7,21
17045,100,96,0,1
17047,100,95,1,2
17049,100,95,1,2
17051,100,97,0,1
17053,100,95,1,3
17055,100,96,1,1
17057,100,96,1,1
17059,100,97,1,2
17061,100,98,0,0
17063,100,81,3,12
17065,100,96,1,1
17067,100,96,0,1
17069,100,94,2,1
17071,100,95,0,2
17073,100,87,3,8
17075,100,84,2,10
17077,89,68,19,5
17079,100,98,0,1
17081,100,82,11,2
17083,100,98,1,1
17085,100,93,1,4
17087,100,96,0,1
17089,85,47,6,40
17091,90,59,21,14
17093,93,64,7,21
17095,99,78,8,7
17097,88,53,7,29
17099,100,80,2,14
17101,100,96,1,1
17103,100,87,2,5
17105,100,90,1,5
17107,100,93,2,1
17109,100,86,5,3
17111,97,76,1,17
17113,94,71,12,7
17115,71,64,25,2
17117,100,96,1,1
17119,99,78,12,5
17121,100,88,5,1
17123,100,93,1,3
17125,100,97,0,1
17127,100,85,7,2
17129,100,96,1,1
17131,100,94,1,3
17133,100,96,0,2
17135,100,95,2,2
17137,100,86,6,2
17139,100,96,0,0
17141,96,80,1,14
17143,80,56,30,5
17145,100,90,3,2
17147,100,96,0,1
17149,100,97,0,1
17151,100,95,1,0
17153,62,48,43,0
17155,100,88,1,7
17157,100,89,6,1
17159,100,96,0,2
17161,81,60,15,19
17163,89,51,40,4
17165,100,88,4,2
17167,85,71,20,2
17169,100,96,1,1
17171,100,98,0,0
17173,100,98,1,0
17175,100,94,0,1
17177,85,71,15,6
17179,100,92,1,2
17181,100,89,1,8
17183,75,70,19,6
17185,100,96,0,1
17187,100,78,2,15
17189,100,96,1,2
17191,100,96,1,1
17193,100,96,0,1
17195,97,77,2,17
17197,81,57,13,21
17199,100,88,5,2
17201,69,54,19,19
17203,100,94,1,2
18001,100,88,1,8
18003,79,61,18,10
18005,100,80,2,9
18007,100,91,1,7
18009,100,96,0,1
18011,100,91,1,3
18013,100,94,0,1
18015,100,91,0,6
18017,96,72,1,22
18019,97,78,9,7
18021,100,96,0,2
18023,100,76,1,21
18025,100,96,0,2
18027,100,88,1,8
18029,100,96,0,1
18031,100,96,0,2
18033,100,93,1,3
18035,99,82,9,2
18037,100,89,0,9
18039,86,63,7,23
18041,100,95,1,1
18043,100,82,7,3
18045,100,93,0,3
18047,100,97,0,1
18049,100,89,0,6
18051,100,93,2,1
18053,98,78,9,4
18055,100,96,0,2
18057,100,82,4,4
18059,100,93,2,2
18061,100,95,1,2
18063,100,83,6,4
18065,100,94,1,2
18067,100,79,9,3
18069,100,94,0,2
18071,100,87,1,7
18073,100,89,1,7
18075,100,94,0,3
18077,100,92,2,3
18079,100,94,0,3
18081,100,89,1,4
18083,100,94,1,2
18085,100,82,1,14
18087,100,89,1,7
18089,83,41,32,22
18091,90,72,13,9
18093,100,95,0,2
18095,99,79,10,5
18097,60,41,37,14
18099,100,81,1,15
18101,100,97,0,1
18103,100,91,1,2
18105,100,81,4,4
18107,100,90,1,6
18109,100,95,1,2
18111,100,89,1,7
18113,97,79,0,18
18115,100,96,0,1
18117,100,95,1,1
18119,100,96,0,1
18121,100,95,0,2
18123,100,96,1,2
18125,100,97,0,1
18127,100,79,5,10
18129,100,92,2,2
18131,100,92,0,4
18133,100,94,1,2
18135,100,92,0,4
18137,100,97,0,1
18139,100,93,1,1
18141,78,59,20,11
18143,100,95,1,2
18145,100,90,1,5
18147,100,92,0,5
18149,100,93,0,5
18151,100,89,0,6
18153,100,96,0,2
18155,100,97,0,1
18157,97,71,7,14
18159,100,94,0,4
18161,100,97,0,0
18163,93,72,14,3
18165,100,95,0,2
18167,100,83,6,3
18169,100,94,0,2
18171,100,97,0,1
18173,100,91,1,2
18175,100,97,0,1
18177,99,83,5,3
18179,100,94,1,3
18181,100,85,0,10
18183,100,93,1,3
19001,100,96,0,1
19003,100,95,0,2
19005,90,85,1,13
19007,100,95,1,2
19009,100,96,0,1
19011,100,95,1,2
19013,91,69,17,7
19015,97,90,3,4
19017,100,96,1,1
19019,100,95,0,2
19021,75,50,3,36
19023,100,96,1,1
19025,100,94,1,3
19027,100,94,1,4
19029,100,94,1,3
19031,100,94,1,2
19033,100,87,3,6
19035,100,90,1,6
19037,100,96,0,3
19039,100,80,0,17
19041,100,90,1,7
19043,100,97,0,1
19045,100,86,4,5
19047,75,55,2,42
19049,95,85,2,8
19051,100,95,0,2
19053,100,93,1,3
19055,100,97,1,1
19057,100,79,10,5
19059,100,93,1,3
19061,99,87,5,3
19063,100,81,1,15
19065,100,93,0,2
19067,100,89,5,4
19069,100,75,1,23
19071,100,94,1,3
19073,100,91,0,5
19075,100,94,1,3
19077,100,94,1,4
19079,100,86,0,8
19081,100,88,1,8
19083,100,90,1,6
19085,100,95,0,3
19087,100,85,3,6
19089,100,94,0,2
19091,100,89,1,8
19093,100,93,1,5
19095,100,93,1,5
19097,100,93,1,2
19099,100,94,1,3
19101,100,91,1,4
19103,96,72,12,8
19105,100,95,1,2
19107,100,97,1,1
19109,100,94,0,3
19111,100,87,3,5
19113,99,82,8,4
19115,85,68,1,29
19117,100,98,0,1
19119,100,95,0,3
19121,100,95,1,2
19123,100,92,1,2
19125,100,94,1,2
19127,76,59,2,32
19129,100,94,1,3
19131,100,97,0,1
19133,100,93,2,3
19135,100,93,1,4
19137,100,92,0,6
19139,90,67,3,27
19141,100,89,1,8
19143,100,87,1,10
19145,96,87,5,4
19147,100,95,0,3
19149,100,90,1,6
19151,100,92,2,4
19153,87,68,9,13
19155,100,85,2,10
19157,100,91,1,4
19159,100,97,1,1
19161,100,93,1,4
19163,94,70,12,10
19165,100,95,1,2
19167,100,77,1,20
19169,100,84,4,5
19171,100,76,1,16
19173,100,85,0,14
19175,100,92,1,4
19177,100,96,1,2
19179,97,77,2,17
19181,100,92,1,3
19183,100,86,2,10
19185,100,96,1,2
19187,100,83,6,6
19189,100,91,1,5
19191,100,95,0,3
19193,88,65,4,23
19195,100,94,2,2
19197,100,80,1,17
20001,100,90,2,4
20003,100,94,1,3
20005,100,81,9,4
20007,100,93,1,4
20009,99,71,1,24
20011,100,89,4,3
20013,100,76,2,5
20015,100,87,1,6
20017,100,93,0,3
20019,100,82,3,6
20021,100,83,1,3
20023,100,86,0,12
20025,100,79,1,15
20027,100,92,1,3
20029,100,92,1,5
20031,100,93,0,3
20033,100,92,1,6
20035,99,70,3,16
20037,100,83,2,8
20039,100,90,1,5
20041,100,92,1,3
20043,100,91,3,3
20045,99,75,6,7
20047,100,63,1,32
20049,100,89,1,5
20051,98,86,1,8
20053,100,89,1,6
20055,32,28,1,65
20057,32,24,2,71
20059,100,90,2,5
20061,57,49,19,18
20063,100,92,2,4
20065,100,89,4,3
20067,0,32,0,65
20069,100,73,1,25
20071,100,71,0,24
20073,100,89,1,5
20075,47,51,0,47
20077,100,84,0,11
20079,96,74,2,20
20081,55,57,0,42
20083,100,85,2,9
20085,100,79,2,4
20087,100,93,1,3
20089,100,94,1,5
20091,98,74,6,11
20093,83,56,1,40
20095,100,94,0,3
20097,100,82,1,12
20099,100,75,6,6
20101,100,83,0,13
20103,98,76,8,8
20105,100,90,1,5
20107,100,94,1,2
20109,100,93,1,4
20111,58,53,2,39
20113,100,89,1,6
20115,100,91,1,5
20117,100,94,1,3
20119,90,71,1,26
20121,100,91,1,4
20123,100,95,0,2
20125,87,69,7,8
20127,100,91,1,6
20129,100,75,3,17
20131,100,94,1,2
20133,100,88,1,6
20135,100,78,0,20
20137,100,95,1,2
20139,100,92,1,4
20141,100,94,1,3
20143,100,94,2,3
20145,96,76,3,15
20147,100,89,2,4
20149,100,90,1,6
20151,100,83,0,13
20153,100,92,2,5
20155,99,79,3,13
20157,100,95,1,2
20159,100,77,2,18
20161,100,69,8,12
20163,100,96,1,2
20165,100,94,1,4
20167,100,91,2,4
20169,100,74,6,12
20171,100,69,1,26
20173,74,54,12,22
20175,0,21,2,72
20177,77,61,12,17
20179,100,90,0,7
20181,100,77,2,20
20183,100,94,0,2
20185,100,72,1,26
20187,45,49,0,44
20189,89,52,1,46
20191,100,87,1,7
20193,100,90,1,6
20195,100,94,2,2
20197,100,90,0,5
20199,100,92,0,7
20201,100,93,1,5
20203,100,60,0,39
20205,100,91,0,4
20207,100,90,0,2
20209,46,27,29,37
21001,100,92,2,4
21003,100,95,1,2
21005,100,92,2,2
21007,100,92,3,1
21009,100,88,5,4
21011,100,96,1,2
21013,100,96,2,0
21015,100,87,3,5
21017,100,78,8,11
21019,100,94,2,1
21021,100,82,8,4
21023,100,97,1,2
21025,100,98,1,0
21027,100,94,2,2
21029,100,95,1,2
21031,100,95,0,3
21033,100,90,6,1
21035,100,88,4,3
21037,100,90,4,2
21039,100,95,1,3
21041,100,85,2,9
21043,100,98,1,1
21045,100,94,0,4
21047,86,58,33,5
21049,100,87,6,4
21051,100,98,1,1
21053,100,95,0,4
21055,100,97,1,1
21057,100,93,2,1
21059,99,83,7,4
21061,100,96,0,1
21063,100,99,0,0
21065,100,99,1,0
21067,79,57,23,12
21069,100,95,2,2
21071,100,99,0,0
21073,100,78,10,5
21075,66,57,34,3
21077,100,88,1,8
21079,100,90,3,5
21081,100,94,1,3
21083,92,80,5,10
21085,100,97,1,1
21087,100,93,2,2
21089,100,96,1,1
21091,100,95,1,2
21093,94,72,16,5
21095,100,96,3,1
21097,100,93,2,3
21099,100,92,4,2
21101,100,83,9,3
21103,99,88,5,5
21105,100,85,10,1
21107,100,83,10,3
21109,100,99,0,0
21111,74,51,37,7
21113,100,89,5,3
21115,100,97,1,1
21117,97,83,8,4
21119,100,98,1,1
21121,100,97,1,1
21123,100,89,3,5
21125,100,96,1,1
21127,100,99,1,0
21129,100,98,1,0
21131,100,99,1,0
21133,100,99,1,1
21135,100,98,0,0
21137,100,92,2,3
21139,100,94,0,3
21141,100,86,8,3
21143,100,91,4,1
21145,85,74,18,3
21147,100,99,0,1
21149,100,96,1,3
21151,100,88,5,3
21153,100,98,0,1
21155,100,89,7,3
21157,100,98,0,1
21159,100,99,0,0
21161,100,85,8,2
21163,100,93,2,2
21165,100,97,0,1
21167,100,87,3,4
21169,100,97,1,2
21171,100,92,3,4
21173,100,92,2,4
21175,100,99,0,0
